gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
883454532,8971dfba-f762-11e1-a439-00145eb45e9a,urn:catalog:UASM:UASM336706,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex annulirostris,,SPECIES,"Culex annulirostris Skuse, 1889",Culex annulirostris,Skuse,PF,,Austral Islands,PRESENT,1,03cb9700-6cee-11d8-922d-b8a03c50a862,-22.65,-152.81,NA,NA,NA,NA,NA,NA,2009-01-01T00:00:00,NA,NA,2009,1652660,1652660,PRESERVED_SPECIMEN,University of Alberta Museums (UAM),UASM,UASM336706,,"Craig, D. A.",2009-01-01T00:00:00,CC0_1_0,University of Alberta Museums,"Porch, N.",NA,NA,2023-05-27T16:27:23.799Z,,GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE
883454462,8971dfba-f762-11e1-a439-00145eb45e9a,urn:catalog:UASM:UASM336707,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex annulirostris,,SPECIES,"Culex annulirostris Skuse, 1889",Culex annulirostris,Skuse,PF,,Austral Islands,PRESENT,1,03cb9700-6cee-11d8-922d-b8a03c50a862,-22.65,-152.81,NA,NA,NA,NA,NA,NA,2009-01-01T00:00:00,NA,NA,2009,1652660,1652660,PRESERVED_SPECIMEN,University of Alberta Museums (UAM),UASM,UASM336707,,"Craig, D. A.",2009-01-01T00:00:00,CC0_1_0,University of Alberta Museums,"Porch, N.",NA,NA,2023-05-27T16:27:23.781Z,,GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE
883453220,8971dfba-f762-11e1-a439-00145eb45e9a,urn:catalog:UASM:UASM336708,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex annulirostris,,SPECIES,"Culex annulirostris Skuse, 1889",Culex annulirostris,Skuse,PF,,Austral Islands,PRESENT,1,03cb9700-6cee-11d8-922d-b8a03c50a862,-22.65,-152.81,NA,NA,NA,NA,NA,NA,2009-01-01T00:00:00,NA,NA,2009,1652660,1652660,PRESERVED_SPECIMEN,University of Alberta Museums (UAM),UASM,UASM336708,,"Craig, D. A.",2009-01-01T00:00:00,CC0_1_0,University of Alberta Museums,"Porch, N.",NA,NA,2023-05-27T16:27:23.776Z,,GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE
4102611318,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/20836270,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex annulirostris,,SPECIES,"Culex annulirostris Skuse, 1889",Culex annulirostris,,AU,,South Australia,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-34.104122,140.717349,61,NA,NA,NA,NA,NA,2019-02-20T00:00:00,20,2,2019,1652660,1652660,HUMAN_OBSERVATION,iNaturalist,Observations,20836270,,Stephen Fricker,2019-03-04T13:44:40,CC_BY_NC_4_0,Stephen Fricker,Stephen Fricker,NA,NA,2023-05-24T04:46:56.159Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4102571424,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/122613801,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex annulirostris,,SPECIES,"Culex annulirostris Skuse, 1889",Culex annulirostris,,AU,,South Australia,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-31.067615,136.879545,29278,NA,NA,NA,NA,NA,2022-05-31T16:09:00,31,5,2022,1652660,1652660,HUMAN_OBSERVATION,iNaturalist,Observations,122613801,,Stephen Fricker,2022-06-20T09:01:00,CC_BY_NC_4_0,Stephen Fricker,Stephen Fricker,NA,NA,2023-05-24T04:42:30.930Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4050507386,f553f8f9-b147-4f09-86e5-0d1ce1a91ce0,c3687349-6607-431c-9890-115fa48626ea,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex annulirostris,,SPECIES,"Culex annulirostris Skuse, 1889","Culex annulirostris Skuse, 1889",,WF,,,PRESENT,NA,1928bdf0-f5d2-11dc-8c12-b8a03c50a862,-13.75548,-177.08021,111214,NA,NA,NA,NA,NA,,NA,NA,NA,1652660,1652660,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,NA,NA,2023-03-08T14:36:38.286Z,,COUNTRY_MISMATCH
4050492715,f553f8f9-b147-4f09-86e5-0d1ce1a91ce0,4d7f4823-7f60-4649-b014-6b5e868c9f0a,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex annulirostris,annulirostris,SUBSPECIES,Culex annulirostris annulirostris,"Culex annulirostris annulirostris Skuse, 1889",,WF,,,PRESENT,NA,1928bdf0-f5d2-11dc-8c12-b8a03c50a862,-13.75548,-177.08021,111214,NA,NA,NA,NA,NA,,NA,NA,NA,11219740,1652660,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,NA,NA,2023-03-08T14:36:39.590Z,,COUNTRY_MISMATCH
4017670788,6a0a95c6-c07a-4c35-9e9f-f776e8730fd4,https://data.biodiversitydata.nl/naturalis/specimen/RMNH.INS.1604751,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex annulirostris,,SPECIES,"Culex annulirostris Skuse, 1889","Culex annulirostris Skuse, 1889","Skuse, 1889",ID,Merauke,Papua,PRESENT,NA,396d5f30-dea9-11db-8ab4-b8a03c50a862,-8.500401,140.407156,55533,NA,NA,NA,NA,NA,,NA,NA,NA,1652660,1652660,PRESERVED_SPECIMEN,,Diptera,RMNH.INS.1604751,,,,CC0_1_0,Naturalis Biodiversity Center,Brug de Rook,NA,NA,2023-05-24T02:33:17.109Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
4017670652,6a0a95c6-c07a-4c35-9e9f-f776e8730fd4,https://data.biodiversitydata.nl/naturalis/specimen/RMNH.INS.1604679,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex annulirostris,,SPECIES,"Culex annulirostris Skuse, 1889","Culex annulirostris Skuse, 1889","Skuse, 1889",ID,Merauke,Papua,PRESENT,NA,396d5f30-dea9-11db-8ab4-b8a03c50a862,-8.500401,140.407156,55533,NA,NA,NA,NA,NA,,NA,NA,NA,1652660,1652660,PRESERVED_SPECIMEN,,Diptera,RMNH.INS.1604679,,,,CC0_1_0,Naturalis Biodiversity Center,Brug de Rook,NA,NA,2023-05-24T02:33:17.094Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
4017669711,6a0a95c6-c07a-4c35-9e9f-f776e8730fd4,https://data.biodiversitydata.nl/naturalis/specimen/RMNH.INS.1604609,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex annulirostris,,SPECIES,"Culex annulirostris Skuse, 1889","Culex annulirostris Skuse, 1889","Skuse, 1889",ID,Merauke,Papua,PRESENT,NA,396d5f30-dea9-11db-8ab4-b8a03c50a862,-8.500401,140.407156,55533,NA,NA,NA,NA,NA,,NA,NA,NA,1652660,1652660,PRESERVED_SPECIMEN,,Diptera,RMNH.INS.1604609,,,,CC0_1_0,Naturalis Biodiversity Center,Brug de Rook,NA,NA,2023-05-24T02:33:08.346Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
4017668961,6a0a95c6-c07a-4c35-9e9f-f776e8730fd4,https://data.biodiversitydata.nl/naturalis/specimen/RMNH.INS.1600340,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex annulirostris,,SPECIES,"Culex annulirostris Skuse, 1889","Culex annulostris Skuse, 1889","Skuse, 1889",ID,Merauke,Papua,PRESENT,NA,396d5f30-dea9-11db-8ab4-b8a03c50a862,-8.500401,140.407156,55533,NA,NA,NA,NA,NA,,NA,NA,NA,1652660,1652660,PRESERVED_SPECIMEN,,Diptera,RMNH.INS.1600340,,,,CC0_1_0,Naturalis Biodiversity Center,Gremmée G.A.,NA,NA,2023-05-24T02:33:12.509Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_FUZZY;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
4017668956,6a0a95c6-c07a-4c35-9e9f-f776e8730fd4,https://data.biodiversitydata.nl/naturalis/specimen/RMNH.INS.1604610,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex annulirostris,,SPECIES,"Culex annulirostris Skuse, 1889","Culex annulirostris Skuse, 1889","Skuse, 1889",ID,Merauke,Papua,PRESENT,NA,396d5f30-dea9-11db-8ab4-b8a03c50a862,-8.500401,140.407156,55533,NA,NA,NA,NA,NA,,NA,NA,NA,1652660,1652660,PRESERVED_SPECIMEN,,Diptera,RMNH.INS.1604610,,,,CC0_1_0,Naturalis Biodiversity Center,Brug de Rook,NA,NA,2023-05-24T02:33:16.776Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
4017668024,6a0a95c6-c07a-4c35-9e9f-f776e8730fd4,https://data.biodiversitydata.nl/naturalis/specimen/RMNH.INS.1604597,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex annulirostris,,SPECIES,"Culex annulirostris Skuse, 1889","Culex annulirostris Skuse, 1889","Skuse, 1889",ID,Merauke,Papua,PRESENT,NA,396d5f30-dea9-11db-8ab4-b8a03c50a862,-8.500401,140.407156,55533,NA,NA,NA,NA,NA,,NA,NA,NA,1652660,1652660,PRESERVED_SPECIMEN,,Diptera,RMNH.INS.1604597,,,,CC0_1_0,Naturalis Biodiversity Center,Brug de Rook,NA,NA,2023-05-24T02:33:12.379Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
4017667817,6a0a95c6-c07a-4c35-9e9f-f776e8730fd4,https://data.biodiversitydata.nl/naturalis/specimen/RMNH.INS.1604667,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex annulirostris,,SPECIES,"Culex annulirostris Skuse, 1889","Culex annulirostris Skuse, 1889","Skuse, 1889",ID,Merauke,Papua,PRESENT,NA,396d5f30-dea9-11db-8ab4-b8a03c50a862,-8.500401,140.407156,55533,NA,NA,NA,NA,NA,,NA,NA,NA,1652660,1652660,PRESERVED_SPECIMEN,,Diptera,RMNH.INS.1604667,,,,CC0_1_0,Naturalis Biodiversity Center,Brug de Rook,NA,NA,2023-05-24T02:33:12.357Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
4017667776,6a0a95c6-c07a-4c35-9e9f-f776e8730fd4,https://data.biodiversitydata.nl/naturalis/specimen/RMNH.INS.1604620,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex annulirostris,,SPECIES,"Culex annulirostris Skuse, 1889","Culex annulirostris Skuse, 1889","Skuse, 1889",ID,Merauke,Papua,PRESENT,NA,396d5f30-dea9-11db-8ab4-b8a03c50a862,-8.500401,140.407156,55533,NA,NA,NA,NA,NA,,NA,NA,NA,1652660,1652660,PRESERVED_SPECIMEN,,Diptera,RMNH.INS.1604620,,,,CC0_1_0,Naturalis Biodiversity Center,Brug de Rook,NA,NA,2023-05-24T02:33:03.848Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
4017667533,6a0a95c6-c07a-4c35-9e9f-f776e8730fd4,https://data.biodiversitydata.nl/naturalis/specimen/RMNH.INS.1604752,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex annulirostris,,SPECIES,"Culex annulirostris Skuse, 1889","Culex annulirostris Skuse, 1889","Skuse, 1889",ID,Merauke,Papua,PRESENT,NA,396d5f30-dea9-11db-8ab4-b8a03c50a862,-8.500401,140.407156,55533,NA,NA,NA,NA,NA,,NA,NA,NA,1652660,1652660,PRESERVED_SPECIMEN,,Diptera,RMNH.INS.1604752,,,,CC0_1_0,Naturalis Biodiversity Center,Brug de Rook,NA,NA,2023-05-24T02:33:07.933Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
4017667023,6a0a95c6-c07a-4c35-9e9f-f776e8730fd4,https://data.biodiversitydata.nl/naturalis/specimen/RMNH.INS.1581942,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex annulirostris,,SPECIES,"Culex annulirostris Skuse, 1889","Culex annulirostris Skuse, 1889","Skuse, 1889",ID,Sorong,West Papua,PRESENT,NA,396d5f30-dea9-11db-8ab4-b8a03c50a862,-0.876191,131.255816,10584,NA,NA,NA,NA,NA,1952-09-01T00:00:00,1,9,1952,1652660,1652660,PRESERVED_SPECIMEN,,Diptera,RMNH.INS.1581942,,,,CC0_1_0,Naturalis Biodiversity Center,De Rook,NA,NA,2023-05-24T02:33:16.497Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_UNLIKELY;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
4017666712,6a0a95c6-c07a-4c35-9e9f-f776e8730fd4,https://data.biodiversitydata.nl/naturalis/specimen/RMNH.INS.1604666,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex annulirostris,,SPECIES,"Culex annulirostris Skuse, 1889","Culex annulirostris Skuse, 1889","Skuse, 1889",ID,Merauke,Papua,PRESENT,NA,396d5f30-dea9-11db-8ab4-b8a03c50a862,-8.500401,140.407156,55533,NA,NA,NA,NA,NA,,NA,NA,NA,1652660,1652660,PRESERVED_SPECIMEN,,Diptera,RMNH.INS.1604666,,,,CC0_1_0,Naturalis Biodiversity Center,Brug de Rook,NA,NA,2023-05-24T02:33:03.697Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
4017665974,6a0a95c6-c07a-4c35-9e9f-f776e8730fd4,https://data.biodiversitydata.nl/naturalis/specimen/RMNH.INS.1604611,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex annulirostris,,SPECIES,"Culex annulirostris Skuse, 1889","Culex annulirostris Skuse, 1889","Skuse, 1889",ID,Merauke,Papua,PRESENT,NA,396d5f30-dea9-11db-8ab4-b8a03c50a862,-8.500401,140.407156,55533,NA,NA,NA,NA,NA,,NA,NA,NA,1652660,1652660,PRESERVED_SPECIMEN,,Diptera,RMNH.INS.1604611,,,,CC0_1_0,Naturalis Biodiversity Center,Brug de Rook,NA,NA,2023-05-24T02:33:07.757Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
4017665819,6a0a95c6-c07a-4c35-9e9f-f776e8730fd4,https://data.biodiversitydata.nl/naturalis/specimen/RMNH.INS.1604690,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex annulirostris,,SPECIES,"Culex annulirostris Skuse, 1889","Culex annulirostris Skuse, 1889","Skuse, 1889",ID,Merauke,Papua,PRESENT,NA,396d5f30-dea9-11db-8ab4-b8a03c50a862,-8.500401,140.407156,55533,NA,NA,NA,NA,NA,,NA,NA,NA,1652660,1652660,PRESERVED_SPECIMEN,,Diptera,RMNH.INS.1604690,,,,CC0_1_0,Naturalis Biodiversity Center,Brug de Rook,NA,NA,2023-05-24T02:33:12.089Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
4017665493,6a0a95c6-c07a-4c35-9e9f-f776e8730fd4,https://data.biodiversitydata.nl/naturalis/specimen/RMNH.INS.1604678,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex annulirostris,,SPECIES,"Culex annulirostris Skuse, 1889","Culex annulirostris Skuse, 1889","Skuse, 1889",ID,Merauke,Papua,PRESENT,NA,396d5f30-dea9-11db-8ab4-b8a03c50a862,-8.500401,140.407156,55533,NA,NA,NA,NA,NA,,NA,NA,NA,1652660,1652660,PRESERVED_SPECIMEN,,Diptera,RMNH.INS.1604678,,,,CC0_1_0,Naturalis Biodiversity Center,Brug de Rook,NA,NA,2023-05-24T02:33:07.706Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
4017664519,6a0a95c6-c07a-4c35-9e9f-f776e8730fd4,https://data.biodiversitydata.nl/naturalis/specimen/RMNH.INS.1604753,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex annulirostris,,SPECIES,"Culex annulirostris Skuse, 1889","Culex annulirostris Skuse, 1889","Skuse, 1889",ID,Merauke,Papua,PRESENT,NA,396d5f30-dea9-11db-8ab4-b8a03c50a862,-8.500401,140.407156,55533,NA,NA,NA,NA,NA,,NA,NA,NA,1652660,1652660,PRESERVED_SPECIMEN,,Diptera,RMNH.INS.1604753,,,,CC0_1_0,Naturalis Biodiversity Center,Brug de Rook,NA,NA,2023-05-24T02:33:16.126Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
4017664020,6a0a95c6-c07a-4c35-9e9f-f776e8730fd4,https://data.biodiversitydata.nl/naturalis/specimen/RMNH.INS.1604600,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex annulirostris,,SPECIES,"Culex annulirostris Skuse, 1889","Culex annulirostris Skuse, 1889","Skuse, 1889",ID,Merauke,Papua,PRESENT,NA,396d5f30-dea9-11db-8ab4-b8a03c50a862,-8.500401,140.407156,55533,NA,NA,NA,NA,NA,,NA,NA,NA,1652660,1652660,PRESERVED_SPECIMEN,,Diptera,RMNH.INS.1604600,,,,CC0_1_0,Naturalis Biodiversity Center,Brug de Rook,NA,NA,2023-05-24T02:33:11.835Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
4017663298,6a0a95c6-c07a-4c35-9e9f-f776e8730fd4,https://data.biodiversitydata.nl/naturalis/specimen/RMNH.INS.1604689,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex annulirostris,,SPECIES,"Culex annulirostris Skuse, 1889","Culex annulirostris Skuse, 1889","Skuse, 1889",ID,Merauke,Papua,PRESENT,NA,396d5f30-dea9-11db-8ab4-b8a03c50a862,-8.500401,140.407156,55533,NA,NA,NA,NA,NA,,NA,NA,NA,1652660,1652660,PRESERVED_SPECIMEN,,Diptera,RMNH.INS.1604689,,,,CC0_1_0,Naturalis Biodiversity Center,Brug de Rook,NA,NA,2023-05-24T02:33:03.250Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
4017662874,6a0a95c6-c07a-4c35-9e9f-f776e8730fd4,https://data.biodiversitydata.nl/naturalis/specimen/RMNH.INS.1604677,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex annulirostris,,SPECIES,"Culex annulirostris Skuse, 1889","Culex annulirostris Skuse, 1889","Skuse, 1889",ID,Merauke,Papua,PRESENT,NA,396d5f30-dea9-11db-8ab4-b8a03c50a862,-8.500401,140.407156,55533,NA,NA,NA,NA,NA,,NA,NA,NA,1652660,1652660,PRESERVED_SPECIMEN,,Diptera,RMNH.INS.1604677,,,,CC0_1_0,Naturalis Biodiversity Center,Brug de Rook,NA,NA,2023-05-24T02:33:15.950Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
4017662713,6a0a95c6-c07a-4c35-9e9f-f776e8730fd4,https://data.biodiversitydata.nl/naturalis/specimen/RMNH.INS.1604612,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex annulirostris,,SPECIES,"Culex annulirostris Skuse, 1889","Culex annulirostris Skuse, 1889","Skuse, 1889",ID,Merauke,Papua,PRESENT,NA,396d5f30-dea9-11db-8ab4-b8a03c50a862,-8.500401,140.407156,55533,NA,NA,NA,NA,NA,,NA,NA,NA,1652660,1652660,PRESERVED_SPECIMEN,,Diptera,RMNH.INS.1604612,,,,CC0_1_0,Naturalis Biodiversity Center,Brug de Rook,NA,NA,2023-05-24T02:33:15.935Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
4017662392,6a0a95c6-c07a-4c35-9e9f-f776e8730fd4,https://data.biodiversitydata.nl/naturalis/specimen/RMNH.INS.1599094,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex annulirostris,,SPECIES,"Culex annulirostris Skuse, 1889","Culex annulirostris Skuse, 1889","Skuse, 1889",ID,"Boven-Digoel, Mandopo",Papua,PRESENT,NA,396d5f30-dea9-11db-8ab4-b8a03c50a862,-6.138941,140.213328,54676,NA,NA,NA,NA,NA,,NA,NA,NA,1652660,1652660,PRESERVED_SPECIMEN,,Diptera,RMNH.INS.1599094,,,,CC0_1_0,Naturalis Biodiversity Center,De Rook,NA,NA,2023-05-24T02:33:07.334Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
4017662356,6a0a95c6-c07a-4c35-9e9f-f776e8730fd4,https://data.biodiversitydata.nl/naturalis/specimen/RMNH.INS.1604777,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex annulirostris,,SPECIES,"Culex annulirostris Skuse, 1889","Culex annulirostris Skuse, 1889","Skuse, 1889",ID,Merauke,Papua,PRESENT,NA,396d5f30-dea9-11db-8ab4-b8a03c50a862,-8.500401,140.407156,55533,NA,NA,NA,NA,NA,,NA,NA,NA,1652660,1652660,PRESERVED_SPECIMEN,,Diptera,RMNH.INS.1604777,,,,CC0_1_0,Naturalis Biodiversity Center,Brug de Rook,NA,NA,2023-05-24T02:33:07.328Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
4017661850,6a0a95c6-c07a-4c35-9e9f-f776e8730fd4,https://data.biodiversitydata.nl/naturalis/specimen/RMNH.INS.1604606,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex annulirostris,,SPECIES,"Culex annulirostris Skuse, 1889","Culex annulirostris Skuse, 1889","Skuse, 1889",ID,Merauke,Papua,PRESENT,NA,396d5f30-dea9-11db-8ab4-b8a03c50a862,-8.500401,140.407156,55533,NA,NA,NA,NA,NA,,NA,NA,NA,1652660,1652660,PRESERVED_SPECIMEN,,Diptera,RMNH.INS.1604606,,,,CC0_1_0,Naturalis Biodiversity Center,Brug de Rook,NA,NA,2023-05-24T02:33:15.841Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
4017661279,6a0a95c6-c07a-4c35-9e9f-f776e8730fd4,https://data.biodiversitydata.nl/naturalis/specimen/RMNH.INS.1604618,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex annulirostris,,SPECIES,"Culex annulirostris Skuse, 1889","Culex annulirostris Skuse, 1889","Skuse, 1889",ID,Merauke,Papua,PRESENT,NA,396d5f30-dea9-11db-8ab4-b8a03c50a862,-8.500401,140.407156,55533,NA,NA,NA,NA,NA,,NA,NA,NA,1652660,1652660,PRESERVED_SPECIMEN,,Diptera,RMNH.INS.1604618,,,,CC0_1_0,Naturalis Biodiversity Center,Brug de Rook,NA,NA,2023-05-24T02:33:02.979Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
4017660810,6a0a95c6-c07a-4c35-9e9f-f776e8730fd4,https://data.biodiversitydata.nl/naturalis/specimen/RMNH.INS.1581944,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex annulirostris,,SPECIES,"Culex annulirostris Skuse, 1889","Culex annulirostris Skuse, 1889","Skuse, 1889",ID,Sorong,West Papua,PRESENT,NA,396d5f30-dea9-11db-8ab4-b8a03c50a862,-0.876191,131.255816,10584,NA,NA,NA,NA,NA,1952-09-01T00:00:00,1,9,1952,1652660,1652660,PRESERVED_SPECIMEN,,Diptera,RMNH.INS.1581944,,,,CC0_1_0,Naturalis Biodiversity Center,De Rook,NA,NA,2023-05-24T02:33:15.718Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_UNLIKELY;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
4017660635,6a0a95c6-c07a-4c35-9e9f-f776e8730fd4,https://data.biodiversitydata.nl/naturalis/specimen/RMNH.INS.1604492,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex annulirostris,,SPECIES,"Culex annulirostris Skuse, 1889","Culex annulirostris Skuse, 1889","Skuse, 1889",ID,Dobo,Malukku,PRESENT,NA,396d5f30-dea9-11db-8ab4-b8a03c50a862,-5.755787,134.217407,8909,NA,NA,NA,NA,NA,,NA,NA,NA,1652660,1652660,PRESERVED_SPECIMEN,,Diptera,RMNH.INS.1604492,,,,CC0_1_0,Naturalis Biodiversity Center,Brug de Rook,NA,NA,2023-05-24T02:33:07.135Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
